Entry ID,Name,Gender,Age,Team,NOC,Year,Season,City,Sport,Event,Medal,
1,ANDERSON Andy,Male,25,Canada,CAN,2020,Summer,Tokyo,Skateboarding,Men's Park,,
2,AOKI Yukito,Male,17,Japan,JPN,2020,Summer,Tokyo,Skateboarding,Men's Street,,
3,ARMANTO Lizzie,Female,28,Finland,FIN,2020,Summer,Tokyo,Skateboarding,Women's Park,,
4,ASP Yndiara,Female,23,Brazil,BRA,2020,Summer,Tokyo,Skateboarding,Women's Park,,
5,BARRATT Jordyn,Female,22,United States,USA,2020,Summer,Tokyo,Skateboarding,Women's Park,,
6,BARROS Pedro,Male,26,Brazil,BRA,2020,Summer,Tokyo,Skateboarding,Men's Park,Silver,
7,BENEDETTI Julia,Female,16,Spain,ESP,2020,Summer,Tokyo,Skateboarding,Women's Park,,
8,BENITEZ Andrea,Female,26,Spain,ESP,2020,Summer,Tokyo,Skateboarding,Women's Street,,
9,BERGER Matt,Male,27,Canada,CAN,2020,Summer,Tokyo,Skateboarding,Men's Street,,
10,BRODKA Amelia,Female,31,Poland,POL,2020,Summer,Tokyo,Skateboarding,Women's Park,,
11,BROWN Sky,Female,13,Great Britain,GBR,2020,Summer,Tokyo,Skateboarding,Women's Park,Bronze,
12,BRUECKLER Julia,Female,31,Austria,AUT,2020,Summer,Tokyo,Skateboarding,Women's Street,,
13,BRUGGEMAN Lore,Female,19,Belgium,BEL,2020,Summer,Tokyo,Skateboarding,Women's Street,,
14,BUFONI Leticia,Female,28,Brazil,BRA,2020,Summer,Tokyo,Skateboarding,Women's Street,,
15,CARO NARVAEZ Angelo,Male,21,Peru,PER,2020,Summer,Tokyo,Skateboarding,Men's Street,,
16,CRUYSBERGHS Axel,Male,26,Belgium,BEL,2020,Summer,Tokyo,Skateboarding,Men's Street,,
17,DIDAL Margielyn,Female,22,Philippines,PHI,2020,Summer,Tokyo,Skateboarding,Women's Street,,
18,DURAN Mariah,Female,24,United States,USA,2020,Summer,Tokyo,Skateboarding,Women's Street,,
19,EATON Jagger,Male,20,United States,USA,2020,Summer,Tokyo,Skateboarding,Men's Street,Bronze,
20,EDTMAYER Tyler,Male,20,Germany,GER,2020,Summer,Tokyo,Skateboarding,Men's Park,,
21,FEDERICO Ivan,Male,22,Italy,ITA,2020,Summer,Tokyo,Skateboarding,Men's Park,,
22,FELIPE Gustavo,Male,30,Brazil,BRA,2020,Summer,Tokyo,Skateboarding,Men's Street,,
23,FRANCISCO Luiz,Male,21,Brazil,BRA,2020,Summer,Tokyo,Skateboarding,Men's Park,,
24,GIRAUD Aurelien,Male,23,France,FRA,2020,Summer,Tokyo,Skateboarding,Men's Street,,
25,GLIFBERG Rune,Male,46,Denmark,DEN,2020,Summer,Tokyo,Skateboarding,Men's Park,,
26,GONZALEZ ORTIZ Luis Jhancarlos,Male,24,Colombia,COL,2020,Summer,Tokyo,Skateboarding,Men's Street,,
